"session_id","session_name","session_description","session_date","session_status","session_type","course_id","course_name"
3137,"Sales Persona & Sales Funnel","This session includes: What is a buyer persona?Challenge draw a buyer persona (demographics, behaviour, income...etc)What is a sales funnel?Sales funnel wholes","2023-10-06 03:58:20","ended","recorded",171,"Sales Training Program 2021"
3138,"Essential Sales Skills","Discussing Sales Person: Skills, personality and mindset","2023-10-06 03:58:20","ended","recorded",171,"Sales Training Program 2021"
3139,"Presentation Skills","This session includes:The main presentation skills needed for a sales personnelHow to give a perfect presentation?How to have a better slides structure","2023-10-06 03:58:20","ended","recorded",171,"Sales Training Program 2021"
3140,"Lead Qualification Process 1","This session includes the following:Lead VS Prospect VS OpportunityQualification LevelsSales StepsPre Qualification ProcessIntro to Qualification Process","2023-10-06 03:58:20","ended","recorded",171,"Sales Training Program 2021"
3141,"Lead Qualification Process 2","This session includes:BANT Qualificaiton Framework.Budget Qualification.Authority Qualification.Need Qualification.Timeline Qualification.Business Qualification.Industry & Competitors Qualification.Advancement Qualification.Closing Qualification.","2023-10-06 03:58:20","ended","recorded",171,"Sales Training Program 2021"
3142,"Objection Handling","This session is about:ICE Sales processWhat & Why salespersons face objections.Objections Examples.I need time to think.Send me your info, and I\'ll call you back.I don\'t need your product.Too Expensive.Can you call me back later?I\'m happy with what I\'ve now.I\'M NOT INTERESTED","2023-10-06 03:58:20","ended","recorded",171,"Sales Training Program 2021"
3145,"Customer Map","Deffrentiation between StorkyApp\'s Customers","2023-10-06 03:58:20","ended","recorded",171,"Sales Training Program 2021"
3147," Servers Architecture","","2023-10-06 03:58:20","ended","recorded",171,"Sales Training Program 2021"
3148,"Quality Measures","","2023-10-06 03:58:20","ended","recorded",171,"Sales Training Program 2021"
6216,"StorkyApp Contract","<ul><li><p>Quick Individual Contracts Discussion.</p></li></ul>","2023-12-18 03:05:28","Active","Recorded",171,"Sales Training Program 2021"
3822,"Session 1",NULL,"2023-10-23 13:00:16","active","Recorded",295,"Internal Testing"
3823,"Dev Principals",NULL,"2023-10-23 13:00:44","Active","Recorded",295,"Internal Testing"
4360,"Live Session",NULL,"2023-11-06 20:26:22","Completed","Live",295,"Internal Testing"
4517,"Testing Name","<p>Description</p>","2023-11-16 09:34:39","Active","Recorded",295,"Internal Testing"
7216,"Quick Quiz",NULL,"2024-01-06 17:00:15","Coming","Quiz",295,"Internal Testing"
8370,"Testing Live Session",NULL,"2024-02-22 00:07:05","Completed","Live",295,"Internal Testing"
8371,"Is there a problem with sockets",NULL,"2024-02-22 00:18:19","Completed","Live",295,"Internal Testing"
8372,"Just trying to retest",NULL,"2024-02-22 00:28:39","Completed","Live",295,"Internal Testing"
8373,"Trying From Phone",NULL,"2024-02-22 00:40:05","Completed","Live",295,"Internal Testing"
9933,"Testing Quiz",NULL,"2024-04-18 18:09:23","Coming","Quiz",295,"Internal Testing"
11946,"Abdulrahman Khallil",NULL,"2024-06-12 08:27:33","Completed","Live",295,"Internal Testing"
12033,"Live 1",NULL,"2024-06-16 15:00:53","Completed","Live",295,"Internal Testing"
12057,"Live 2",NULL,"2024-06-19 20:41:03","Completed","Live",295,"Internal Testing"
12058,"Live 3",NULL,"2024-06-19 21:05:34","Completed","Live",295,"Internal Testing"
13970,"Testing Session","","2024-09-03 08:09:22","Coming","Recorded",295,"Internal Testing"
6217,"Summary 1","<ul><li><p>The book intro.</p></li><li><p>How to influence a purchase decision? </p></li></ul>","2023-12-18 03:08:48","Active","Recorded",421,"Advanced Sales"
6853,"Summary 2 - First 2 Whys","<p>6 Whys:</p><ol><li><p>Why Change?</p></li><li><p>Why Now?</p></li></ol>","2023-12-28 12:43:38","Active","Recorded",421,"Advanced Sales"
6924,"Session 3 Why your industry solution",NULL,"2023-12-29 13:48:30","Active","Recorded",421,"Advanced Sales"
6958,"4 Why you and your company","","2023-12-29 14:47:51","coming","Recorded",421,"Advanced Sales"
6959,"5 Why  Your Product or Service","","2023-12-29 14:49:17","coming","Recorded",421,"Advanced Sales"
6960,"6 Why Spend the Money","","2023-12-29 14:50:35","coming","Recorded",421,"Advanced Sales"
7989,"(الفيديو الاول د.ناهد عبدالحميد)","test","2024-02-04 17:29:01","Active","Recorded",488,"Course 2 "
8015,"(الفيديو الثاني د.ناهد عبد الحميد)","2تأمينات تجارية المراجعة النهائية","2024-02-05 19:00:15","Active","Recorded",488,"Course 2 "
8974,"l1","<p>Test live session</p>","2024-03-10 12:27:04","Completed","Live",606,"C1"
10715,"elooooooool","<p>ttt</p>","2024-05-08 09:01:51","Active","Recorded",606,"C1"
11773,"l3",NULL,"2024-06-01 13:48:06","Active","Recorded",606,"C1"
13666,"d","<p>s</p>","2024-08-26 11:19:13","Completed","Live",1016,"test lve"
14000,"Quality Measures","<p>s</p>","2024-10-28 07:00:00","Completed","Live",1016,"test lve"

14970,"Testing Session","","2024-10-03 08:09:22","Coming","Recorded",295,"Internal Testing"
14970,"Testing Session","","2024-10-03 08:09:22","Coming","Recorded",295,"Internal Testing"
14970,"Testing Session","","2024-10-03 08:09:22","Coming","Recorded",295,"Internal Testing"
14970,"Testing Session","","2024-10-03 08:09:22","Coming","Recorded",295,"Internal Testing"
14970,"Testing Session","","2024-10-03 08:09:22","Coming","Recorded",295,"Internal Testing"
14970,"Testing Session","","2024-10-03 08:09:22","Coming","Recorded",295,"Internal Testing"



